bookID,authors
484,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco
493,Nikola Tesla
494,Marc J.  Seifer/William H. Terbo
497,Carol Dommermuth-Costa
498,Nikola Tesla/David Hatcher Childress
511,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye
515,Dave Thomas/Chad Fowler/Andy Hunt
523,Maureen Kelly/CliffsNotes/William Golding
524,William Golding
531,Victor Davis Hanson
534,Ephraim Sevela/Antonina W. Bouis
537,Alice Sebold
538,Alice Sebold
539,Sharyn McCrumb
565,Dave Shea/Molly E. Holzschlag
570,Elizabeth Castro
576,Michael Ochs/Patrick Javault/Ulrike Wasel
597,Chuck Klosterman
599,Chuck Klosterman
619,Jane Feather
629,Robert M. Pirsig
639,Kevin O'Malley/Carol Heyer/Scott Goto
642,Ronald L. DiSanto/Thomas J. Steele
643,John Harold Haynes
650,Catharine M. Fishel/Bill Gardner
655,Leo Tolstoy/Hugh McLean
656,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude
658,Leo Tolstoy/Constance Garnett
662,Ayn Rand/Leonard Peikoff
663,Ayn Rand
664,Ayn Rand
665,Ayn Rand/Nathaniel Branden
667,Ayn Rand
668,Ayn Rand/Leonard Peikoff
669,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen
670,Ayn Rand/Michael S. Berliner/Leonard Peikoff
672,J.J. Isler/Peter Isler
675,Colin  Wells
676,Billy Collins
678,Christopher Caswell
681,Kevin Trudeau
685,Bernard Malamud/Kevin Baker
698,Anne Tyler
700,Gary Colombo/Bonnie Lisle
702,Thomas E. Skidmore/Peter H. Smith
703,Philip Roth
707,Jon   Stewart
759,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein
762,Gabriel García Márquez
763,Gabriel García Márquez
764,Gabriel García Márquez
765,Gabriel García Márquez/Edith Grossman
766,Gabriel García Márquez
771,Brian Greene
775,Upasika Kee Nanayon/Thanissaro Bhikkhu
787,Rob Humphreys/Beth Chaplin/Rebecca Morrill
793,Lonely Planet/Sarah Johnstone/Steve Fallon
797,Lonely Planet/Sarah Johnstone/Tom Masters
799,Lonely Planet/Mark Honan
815,H.G. Bissinger
816,Neal Stephenson
821,Neal Stephenson
822,Neal Stephenson
823,Neal Stephenson
824,Neal Stephenson/J. Frederick George
826,Neal Stephenson
827,Neal Stephenson/Pedro Jorge Romero
